place_name;rating;address;city;province;makanan_khas
Objek wisata guci kabupaten tegal;2,5;Q5JC+53F, Ladang,Hutan, Guci, Kecamatan Bumijawa, Kabupaten Tegal, Jawa Tengah, Indonesia;tegal;jawa tengah;Sate Tegal, Tahu Aci, Kupat Glabed, Teh Poci, Sauto
Desa Wisata Gerabah Kasongan Bantul;3;Kasongan RT 03, Jetis, Bangunjiwo, Kec. Kasihan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55184, Indonesia;bantul;yogyakarta;Gudeg, Bakpia, Sate Klathak, Mangut Lele, Geplak
Bukit Awan Water Park;3,4;Jl. Qomaruddin No.26, Setingi, Randuagung, Kebomas, Gresik Regency, East Java 61121, Indonesia;gresik;jawa timur;Nasi Krawu, Pudak, Otak-otak Bandeng
Bukit Awan Water Park;3,4;Jl. Qomaruddin No.26, Setingi, Randuagung, Kebomas, Gresik Regency, East Java 61121, Indonesia;surabaya;jawa timur;Rawon, Rujak Cingur, Lontong Balap, Tahu Tek, Tahu Telor, Soto Sulung, Sate Klopo, Lapis Surabaya, Krengsengan
Bukit telomoyo;3,4;G6C9+434, Magelang, Kec. Magelang Tengah, Kota Magelang, Jawa Tengah, Indonesia;magelang;jawa tengah;Kupat Tahu, Mangut Beong, Sup Senerek, Getuk Gondok
PANTAI TAMBERU AGUNG;3,6;4F3M+9P3, Pulau Madura, Jawa Timur 69354, Indonesia;madura;jawa timur;Sate Madura, Soto Madura, Bebek Sinjay, Bebek Songkem, Topak Ladeh
Wisata Alam Batu Kapur;3,7;Batu Kapur, Curugagung, Sagalaherang, Subang Regency, West Java 41282, Indonesia;subang;jawa barat;Nanas Simadu
Hill Nature Brukoh;3,8;WHRH+X6C, Brukoh, Bajang, Pakong, Pamekasan Regency, East Java 69352, Indonesia;madura;jawa timur;Sate Madura, Soto Madura, Bebek Sinjay, Bebek Songkem, Topak Ladeh
Pemandian Sumber Pocong;3,8;WR68+G5P, Karang Anyar, Pocong, Kec. Tragah, Kabupaten Bangkalan, Jawa Timur 69165, Indonesia;madura;jawa timur;Sate Madura, Soto Madura, Bebek Sinjay, Bebek Songkem, Topak Ladeh
Tebing Pelangi;3,8;Unnamed Road, Krajan, Tuwiri Kulon, Kec. Merakurak, Kabupaten Tuban, Jawa Timur 62355, Indonesia;tuban;jawa timur;Kare Rajungan, Dumbek
Curug Situhyang;3,8;4776+M4P, Kulur, Majalengka, Majalengka Regency, West Java 45411, Indonesia;majalengka;jawa barat;Kecap Majalengka, Jalakotek
Niagara Pertemon;3,9;R55M+CJ8, Kentangan, Bayu, Songgon, Banyuwangi Regency, East Java 68463, Indonesia;banyuwangi;jawa timur;Rujak Soto, Sego Tempong, Pecel Rawon, Kue Bagiak, Bolu Kuwuk
Pantai batu malang;3,9;RRR4+M79, Kejawan, Sukolilo Tim., Kec. Labang, Kabupaten Bangkalan, Jawa Timur 69163, Indonesia;madura;jawa timur;Sate Madura, Soto Madura, Bebek Sinjay, Bebek Songkem, Topak Ladeh
Bride's Waterfall;3,9;8V3G+2WC, Area Gn., Puyoh, Dawe, Kudus Regency, Central Java 59353, Indonesia;kudus;jawa tengah;Soto Kudus, Jenang Kudus, Lentog Tanjung, Nasi Pindang
Embung Tlogopucang;3,9;Q6GP+9FW, Tlogopucang, Kandangan, Hutan, Tlogopucang, Kec. Temanggung, Kabupaten Temanggung, Jawa Tengah 56281, Indonesia;magelang;jawa tengah;Kupat Tahu, Mangut Beong, Sup Senerek, Getuk Gondok
Pantai Pasir Kencana;3,9;Jalan Pantai, Wonokerto, Panjang Wetan, Kec. Pekalongan Utara, Kota Pekalongan, Jawa Tengah 51153, Indonesia;pekalongan;jawa tengah;Nasi Megono, Tauto, Pindang Tetel
Sendang Ngembel;3,9;Beji Wetan, RT.03, Beji Wetan, Sendangsari, Kec. Pajangan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55751, Indonesia;bantul;yogyakarta;Gudeg, Bakpia, Sate Klathak, Mangut Lele, Geplak
Wana Pokland;3,9;Haurwangi, Cianjur Regency, West Java 43283, Indonesia;cianjur;jawa barat;Manisan Cianjur, Geco
Curug Taringgul;3,9;Cibanten, Cijulang, Cibanten, Pangandaran, Kab. Pangandaran, Jawa Barat 46394, Indonesia;pangandaran;jawa barat;Jambal Roti, Pindang Gunung
Bukit Mondoleko;4;Area Pesawahan, Temuguruh, Kec. Sempu, Kabupaten Banyuwangi, Jawa Timur 68468, Indonesia;banyuwangi;jawa timur;Rujak Soto, Sego Tempong, Pecel Rawon, Kue Bagiak, Bolu Kuwuk
sendang BANYU BIRU LOWAYU;4;Kaliagung, Lowayu, Dukun, Gresik Regency, East Java 61155, Indonesia;gresik;jawa timur;Nasi Krawu, Pudak, Otak-otak Bandeng
Jaddih Hill Madura;4;WQ95+3RM, Jakan, Parseh, Socah, Bangkalan Regency, East Java 69161, Indonesia;madura;jawa timur;Sate Madura, Soto Madura, Bebek Sinjay, Bebek Songkem, Topak Ladeh
BUKIT LAMPION beramah;4;Unnamed Road, Tengginah, Daleman, Kec. Galis, Kabupaten Bangkalan, Jawa Timur 69173, Indonesia;madura;jawa timur;Sate Madura, Soto Madura, Bebek Sinjay, Bebek Songkem, Topak Ladeh
Pantai Camplong;4;Q8J9+MJR, Jl. Raya Camplong, Camplong, Sampang Regency, East Java 69281, Indonesia;madura;jawa timur;Sate Madura, Soto Madura, Bebek Sinjay, Bebek Songkem, Topak Ladeh
sendang BANYU BIRU LOWAYU;4;Kaliagung, Lowayu, Dukun, Gresik Regency, East Java 61155, Indonesia;surabaya;jawa timur;Rawon, Rujak Cingur, Lontong Balap, Tahu Tek, Tahu Telor, Soto Sulung, Sate Klopo, Lapis Surabaya, Krengsengan
Gua Putri Asih;4;2RMQ+82J, Hutan, Nguluhan, Montong, Tuban Regency, East Java 62357, Indonesia;tuban;jawa timur;Kare Rajungan, Dumbek
Wana Wisata Prataan;4;Prantaan, Wukirharjo, Parengan, Tuban Regency, East Java 62366, Indonesia;tuban;jawa timur;Kare Rajungan, Dumbek
Wisata Waterboom Niagara Demak;4;4J5P+C35, Petengan Selatan, Bintoro, Kec. Demak, Kabupaten Demak, Jawa Tengah 59511, Indonesia;demak;jawa tengah;Asem-asem Demak, Nasi Ndoreng, Wedang Pekak
Pantai Morodemak Bonang;4;5GJV+2MM, Area Sawah, Morodemak, Bonang, Demak Regency, Central Java 59552, Indonesia;demak;jawa tengah;Asem-asem Demak, Nasi Ndoreng, Wedang Pekak
